"country" "code" "year" "CP_modern"
"119" "Barbados" 52 "1983" 0.00356567917531542
"120" "Barbados" 52 "1988" 0.00372357078316821
"121" "Barbados" 52 "1993" -0.00336092151532169
"122" "Barbados" 52 "1998" -0.00458858915357108
"123" "Barbados" 52 "2003" -0.00424678716037274
"124" "Barbados" 52 "2008" -0.00337488201464053
"125" "Barbados" 52 "2013" -0.00244894493303283
"126" "Barbados" 52 "2018" 0.000643251883241991
"127" "Belarus" 112 "1978" 0.00637710867931707
"128" "Belarus" 112 "1983" 0.0066829978410245
"129" "Belarus" 112 "1988" 0.00480267445765992
"130" "Belarus" 112 "1993" -0.0176944161326985
"131" "Belarus" 112 "1998" -0.0157498517917487
"132" "Belarus" 112 "2003" 0.028404424339894
"133" "Belarus" 112 "2008" 0.0112974581250627
"134" "Belarus" 112 "2013" -0.0227071863384748
"135" "Belarus" 112 "2018" -0.0308237076229015
"136" "Belgium" 56 "1978" 0.0499658463142911
"137" "Belgium" 56 "1983" -0.0412843023561218
"138" "Belgium" 56 "1988" -0.0328292241793217
"139" "Belgium" 56 "1993" -0.0459638888769698
"140" "Belgium" 56 "1998" -0.0625489787492072
"141" "Belgium" 56 "2003" 0.00221718265373894
"142" "Belgium" 56 "2008" 0.0310464613663846
"143" "Belgium" 56 "2013" 0.0271782270508989
"144" "Belgium" 56 "2018" -0.000834119525151444
"145" "Belize" 84 "1978" -0.0056347751435005
"146" "Belize" 84 "1983" -0.00388481373027064
"147" "Belize" 84 "1988" -0.00326142284538411
"148" "Belize" 84 "1993" -0.00119878208576196
"149" "Belize" 84 "1998" -0.00497877761021537
"150" "Belize" 84 "2003" -0.0317145668298193
"151" "Belize" 84 "2008" -0.0304457650141605
"152" "Belize" 84 "2013" 0.00807321232481883
"153" "Belize" 84 "2018" 0.00324406983084014
"154" "Benin" 204 "1978" -0.000632234999803663
"155" "Benin" 204 "1983" -0.0011825155199392
"156" "Benin" 204 "1988" -0.00185918099853054
"157" "Benin" 204 "1993" -0.00208704298677303
"158" "Benin" 204 "1998" 0.000465079089754059
"159" "Benin" 204 "2003" -0.0041772840502203
"160" "Benin" 204 "2008" -0.0349585675591188
"161" "Benin" 204 "2013" -0.0248136464268153
"162" "Benin" 204 "2018" -0.012583076934807
"163" "Bhutan" 64 "1978" 6.05196626763671e-05
"164" "Bhutan" 64 "1983" 0.000224890394952409
"165" "Bhutan" 64 "1988" -8.84514613429949e-05
"166" "Bhutan" 64 "1993" -0.0038813793158407
"167" "Bhutan" 64 "1998" 0.000244102366305426
"168" "Bhutan" 64 "2003" -0.00021674713252709
"169" "Bhutan" 64 "2008" 0.00971963890084798
"170" "Bhutan" 64 "2013" 0.0485676992330326
"171" "Bhutan" 64 "2018" -0.00691461190774906
"172" "Bolivia (Plurinational State of)" 68 "1978" -0.0133358339539653
"173" "Bolivia (Plurinational State of)" 68 "1983" -0.0184727360371814
"174" "Bolivia (Plurinational State of)" 68 "1988" -0.0270401347605928
"175" "Bolivia (Plurinational State of)" 68 "1993" -0.0126529839249371
"176" "Bolivia (Plurinational State of)" 68 "1998" 0.0108780732910157
"177" "Bolivia (Plurinational State of)" 68 "2003" 0.0238287042060952
"178" "Bolivia (Plurinational State of)" 68 "2008" -0.0184513368809395
"179" "Bolivia (Plurinational State of)" 68 "2013" 0.00211223049062281
"180" "Bolivia (Plurinational State of)" 68 "2018" 0.0152316324223735
"181" "Bosnia and Herzegovina" 70 "1978" -0.00228806400628672
"182" "Bosnia and Herzegovina" 70 "1983" -0.00129661422681678
"183" "Bosnia and Herzegovina" 70 "1988" -9.69817418637886e-05
"184" "Bosnia and Herzegovina" 70 "1993" -0.0046202411235212
"185" "Bosnia and Herzegovina" 70 "1998" -0.0139567306077956
"186" "Bosnia and Herzegovina" 70 "2003" -0.0296405866225552
"187" "Bosnia and Herzegovina" 70 "2008" -0.0433883874290837
"188" "Bosnia and Herzegovina" 70 "2013" -0.024038112649712
"189" "Bosnia and Herzegovina" 70 "2018" -0.00675850069934555
"190" "Botswana" 72 "1978" -0.00446392985476762
"191" "Botswana" 72 "1983" -0.0031386686895333
"192" "Botswana" 72 "1988" 0.0146185504393534
"193" "Botswana" 72 "1993" 0.0132886295669821
"194" "Botswana" 72 "1998" 0.00282972679756771
"195" "Botswana" 72 "2003" 0.0176491144050134
"196" "Botswana" 72 "2008" 0.0356080830159624
"197" "Botswana" 72 "2013" -0.0141133667840174
"198" "Botswana" 72 "2018" -0.0221661764558321
"199" "Brazil" 76 "1978" 0.0260026740023316
"200" "Brazil" 76 "1983" 0.0247785303143153
"201" "Brazil" 76 "1988" 0.0250593567810908
"202" "Brazil" 76 "1993" 0.0334129817902827
"203" "Brazil" 76 "1998" 0.0364222621072487
"204" "Brazil" 76 "2003" 0.0268773406165076
"205" "Brazil" 76 "2008" 0.0178118553229383
"206" "Brazil" 76 "2013" -0.000998113935895328
"207" "Brazil" 76 "2018" 0.000992638379724409
"208" "Bulgaria" 100 "1978" -0.0158224298022586
"209" "Bulgaria" 100 "1983" 0.00374645875230847
"210" "Bulgaria" 100 "1988" 0.0198718502253415
"211" "Bulgaria" 100 "1993" 0.0433970037147611
"212" "Bulgaria" 100 "1998" 0.00422102028023275
"213" "Bulgaria" 100 "2003" -0.0555657677127426
"214" "Bulgaria" 100 "2008" -0.0149057407925182
"215" "Bulgaria" 100 "2013" 0.0073962100868587
"216" "Bulgaria" 100 "2018" 0.00707029834407452
"217" "Burkina Faso" 854 "1978" -0.00050767509958045
"218" "Burkina Faso" 854 "1983" -0.000825086595253052
"219" "Burkina Faso" 854 "1988" -0.00138758108217051
"220" "Burkina Faso" 854 "1993" -0.00280302697395733
"221" "Burkina Faso" 854 "1998" -0.013562676258775
"222" "Burkina Faso" 854 "2003" 0.000220354970775667
"223" "Burkina Faso" 854 "2008" 0.0132182581352544
"224" "Burkina Faso" 854 "2013" 0.0133341206642586
"225" "Burkina Faso" 854 "2018" 0.037151967102485
"226" "Burundi" 108 "1978" -0.000520558429829443
"227" "Burundi" 108 "1983" -0.00117873940268418
"228" "Burundi" 108 "1988" -0.00207088601575527
"229" "Burundi" 108 "1993" -0.00164815067956263
"230" "Burundi" 108 "1998" 6.14620326123902e-05
"231" "Burundi" 108 "2003" -0.0054819501889448
"232" "Burundi" 108 "2008" 0.00344700743590792
