"code" "year" "gdp"
"206" 76 2013 NA
"207" 76 2018 NA
"208" 100 1978 0.109768298334759
"209" 100 1983 0.0103402353335983
"210" 100 1988 -0.120108533668358
"211" 100 1993 NA
"212" 100 1998 NA
"213" 100 2003 NA
"214" 100 2008 NA
"215" 100 2013 NA
"216" 100 2018 NA
"217" 854 1978 NA
"218" 854 1983 NA
"219" 854 1988 -0.0775956176822195
"220" 854 1993 -0.110742652467355
"221" 854 1998 0.0149097853431145
"222" 854 2003 0.0781904905566674
"223" 854 2008 -0.00107499110971462
"224" 854 2013 0.0300788211448785
"225" 854 2018 0.0662341642146282
"226" 108 1978 NA
"227" 108 1983 NA
"228" 108 1988 NA
"229" 108 1993 7.19403815738831e-05
"230" 108 1998 -0.134539320303723
"231" 108 2003 -0.0562932637968498
"232" 108 2008 -0.0137874386105489
"233" 108 2013 0.101941378044497
"234" 108 2018 0.102606704285051
"235" 116 1978 NA
"236" 116 1983 NA
"237" 116 1988 -0.0820879205339677
"238" 116 1993 -0.121862551681017
"239" 116 1998 -0.175227950824596
"240" 116 2003 0.0825285904818536
"241" 116 2008 0.186487450111996
"242" 116 2013 0.0177637856551017
"243" 116 2018 0.0923985967906294
"244" 120 1978 NA
"245" 120 1983 NA
"246" 120 1988 NA
"247" 120 1993 -0.223804688461574
"248" 120 1998 0.0440349372563919
"249" 120 2003 0.0225362706312654
"250" 120 2008 0.0100242679265225
"251" 120 2013 0.0553586607693276
"252" 120 2018 0.0918505518780664
"253" 124 1978 NA
"254" 124 1983 NA
"255" 124 1988 NA
"256" 124 1993 NA
"257" 124 1998 NA
"258" 124 2003 NA
"259" 124 2008 NA
"260" 124 2013 NA
"261" 124 2018 NA
"262" 132 1978 -0.326035491823278
"263" 132 1983 0.0203902554782951
"264" 132 1988 0.0948328445054292
"265" 132 1993 -0.0478929531102448
"266" 132 1998 0.129984011721693
"267" 132 2003 0.140529525340713
"268" 132 2008 0.16598089414103
"269" 132 2013 -0.0118897893493898
"270" 132 2018 -0.165899296904248
"271" 140 1978 NA
"272" 140 1983 NA
"273" 140 1988 NA
"274" 140 1993 NA
"275" 140 1998 NA
"276" 140 2003 NA
"277" 140 2008 NA
"278" 140 2013 NA
"279" 140 2018 NA
"280" 148 1978 NA
"281" 148 1983 NA
"282" 148 1988 NA
"283" 148 1993 NA
"284" 148 1998 NA
"285" 148 2003 -0.242611401635703
"286" 148 2008 0.499175962101842
"287" 148 2013 0.00807687463945272
"288" 148 2018 -0.264641435105592
"289" 152 1978 -0.273619512372809
"290" 152 1983 -0.0302059589680129
"291" 152 1988 -0.0790646213550672
"292" 152 1993 0.1877153904567
"293" 152 1998 0.195174702239189
"294" 152 2003 NA
"295" 152 2008 NA
"296" 152 2013 NA
"297" 152 2018 NA
"298" 156 1978 -0.0542614683596612
"299" 156 1983 0.0399428968617662
"300" 156 1988 0.158676689025868
